순번,이름,주소,메모,위도,경도,등록일
80,"작은피자집","서울 동작구 동작대로1길 31 2층 (사당동)","",37.47725209,126.97964552,"2025-08-17 11:15:18"
81,"꿈꾸는크루아상","서울 서초구 서초대로1길 19-6 1층 (방배동)","",37.48810077,126.98299402,"2025-08-17 11:15:57"
82,"손기정기념관","서울 중구 손기정로 101-4 (만리동2가)","",37.55568993,126.96464906,"2025-08-17 16:39:27"
83,"손기정문화도서관","서울 중구 손기정로 101-3 (만리동2가)","",37.55592055,126.96453125,"2025-08-17 16:40:46"
84,"독박골맛있는집","서울 서대문구 서소문로 61-7 (합동)","",37.56205908,126.96782424,"2025-08-17 16:41:08"
85,"해피해피브레드","서울 중구 청파로 425-2 1층 (중림동)","",37.5576517,126.96893526,"2025-08-17 16:48:47"
86,"계향각","서울 종로구 동숭길 86 1층 (동숭동)","",37.58210152,127.00424778,"2025-08-17 17:10:45"
87,"청달방디저트 수원점","경기 수원시 팔달구 갓매산로 66 2층 203호 (고등동)","",37.27002875,127.00362587,"2025-08-20 17:26:10"
88,"팔레센트","경기 수원시 팔달구 정조로 904-1 2층 (북수동)","",37.28871905,127.0148093,"2025-08-20 17:26:39"
89,"노스모크위드아웃파이어 유림점","경기 수원시 팔달구 향교로 115-17 4층 (교동)","",37.27274206,127.01272709,"2025-08-20 17:26:54"
90,"누드앤츠","경기 수원시 팔달구 정조로 842-16 1층 (북수동)","",37.28390726,127.01666674,"2025-08-20 17:27:12"
91,"거대돼지국밥","부산 해운대구 달맞이길 16-2 1층 (중동)","",35.16194399,129.16651158,"2025-08-22 11:52:21"
92,"영동소금구이 논현본점","서울 강남구 강남대로124길 10 (논현동)","",37.50884803,127.0235028,"2025-08-22 22:32:21"
93,"영동삼미숯불갈비","서울 강남구 학동로2길 30 (논현동)","",37.50947163,127.02293295,"2025-08-22 22:34:45"
94,"논현양꼬치","서울 강남구 학동로6길 37 (논현동)","",37.50992156,127.02572903,"2025-08-22 22:40:29"
95,"현대순대국 2호점","서울 강남구 강남대로128길 6 1층 (논현동)","",37.50968429,127.02284705,"2025-08-22 22:42:40"
96,"리북집 논현직영점","서울 강남구 학동로2길 47 (논현동)","",37.50862454,127.02367464,"2025-08-22 22:44:12"
97,"비스트로 논현","서울 강남구 강남대로122길 39 101호 (논현동)","",37.5087646,127.02604985,"2025-08-22 22:46:06"
98,"현대백화점 목동점","서울 양천구 목동동로 257 (목동)","",37.52665319,126.87525853,"2025-08-23 09:30:19"
99,"홍명","서울 강남구 논현로131길 10 1층 (논현동)","",37.51453743,127.02945877,"2025-08-23 20:59:04"
100,"라이프 브레드","서울 서초구 서초대로34길 19 1층 (방배동)","",37.48862456,126.99827678,"2025-08-24 07:29:25"
101,"그랜파키친&팜","서울 서초구 사평대로20길 7 1층 (반포동)","",37.49897171,126.99726327,"2025-08-24 07:50:24"
102,"르글라스 잠실점","서울 송파구 올림픽로32길 19-19 1-2층 (방이동)","",37.51469141,127.11032922,"2025-08-25 06:54:02"
103,"원신PC라운지","서울 마포구 양화로 186 7층 (동교동)","",37.55766857,126.92589189,"2025-08-26 06:12:05"
104,"고망고 홍대입구역점","서울 마포구 와우산로35길 71 1층 (서교동)","",37.5564366,126.92684378,"2025-08-26 06:12:41"
105,"베렌트레프","서울 마포구 동교로 270 상가 1층 (연남동)","",37.56354308,126.92591324,"2025-08-26 06:14:37"
106,"하이촨촨","서울 마포구 성미산로 161-7 1,2층 (연남동)","",37.56509146,126.92381546,"2025-08-26 06:15:15"
107,"메이드바이 연남","서울 마포구 동교로 271 지하1층,1-5층 (연남동)","",37.56378443,126.92571832,"2025-08-26 06:15:44"
108,"카페 드 래빗","서울 마포구 동교로29길 10 1-4층 (연남동)","",37.56110912,126.92391459,"2025-08-26 06:16:23"
109,"랩오브 파리바게뜨 판교테크원타워","경기 성남시 분당구 분당내곡로 131 1층 (백현동)","",37.39555822,127.11170024,"2025-08-26 06:48:59"
110,"의정부음악도서관","경기 의정부시 장곡로 280 (신곡동)","",37.72855663,127.05377333,"2025-08-26 06:51:18"
